"text","webVideoUrl","createTime"
"Segampang ini cari duit di New York?! 🤯 #KerjaDiAmerika #cariduit #caricuan #lifehacks #anakrantau #kaburajadulu #lowongankerja #lowongankerjaluarnegeri #kerjadiluarnegeri #tinggaldiluarnegeri #perantau ","https://www.tiktok.com/@edwardhlm/video/7475173754822217002","1740449549"
"#japan🇯🇵 engga sekaya elu sih, tapi y.t.t.a #jdmcars #kaburajadulu #timothyronald ","https://www.tiktok.com/@irfan_jdm/video/7473472927673961749","1740053523"
"Nasionalisme ✌🏼#indonesia🇮🇩 #japan🇯🇵 #kaburajadulu #joanna #indonesia #fyp #xyzbcafypシ ","https://www.tiktok.com/@anggitwahyuu/video/7470489585315925256","1739358901"
"#KaburAjaDulu butuh perjuangan dan kesiapan mental tapi worth to try at least for the experiences 🇰🇷✨ Jadi… mending tetep kabur atau pulang ya 🤔","https://www.tiktok.com/@stevanyhany/video/7475256920421551415","1740468895"
"Replying to @nevara🐚🪸🌸🌈 kalo opini kalian tentang #kaburajadulu gimana? ngobrol di comment yuk!❤️ #fyp #livingingermany #indonesianingermany ","https://www.tiktok.com/@aquirabllnd/video/7471177807201111351","1739519149"
"Jangan terlalu sombong untuk mengingat allah ya😌 @Zein el-fairuz  #reminder #allah❤️ #mengingat #sombong #kaburajadulu #fyp ","https://www.tiktok.com/@muhalhaqqi/video/7475094643294735671","1740431107"
"fyp yokk#gfx #indonesiabubar #krisisekonomi #kaburajadulu #indonesia #rakus #fypシ゚ #korupsi ","https://www.tiktok.com/@vandz90/video/7473468465152658694","1740052480"
"Ra nyongko cah mblitar plosok iso tekan kene 🫣 #kaburajadulu #pmikorea🇮🇩♡🇰🇷 #gtogkoreaselatan🇲🇨🇰🇷 #blitar24jam #fyp ","https://www.tiktok.com/@indra_permadi26/video/7475153072461745414","1740444709"
"Yuk, kabur dulu 😄 Menurut kalian gimana? Apakah mau jadi katak dalam tempurung? #kaburajadulu ","https://www.tiktok.com/@ratna_sg/video/7470117366957886727","1739272238"
"Tren Kabur Aja Dulu sedang ramai digunakan di media sosial dan menjadi pemberitaan beberapa hari terakhir. Fenomena Kabur Aja Dulu dianggap sebagai bentuk kekecewaan masyarakat Indonesia terhadap kondisi ekonomi, sosial, dan keadilan di dalam negeri. Kondisi tersebut diduga karena adanya sejumlah kebijakan pemerintah belakangan ini yang dinilai tidak berpihak pada masyarakat. Tren tagar Kabur Aja Dulu dianggap sebagai bentuk keinginan masyarakat untuk meninggalkan Indonesia demi bekerja atau melanjutkan studi di luar negeri. Tren Kabur Aja Dulu kemudian dikaitkan dengan sistem pendidikan di Tanah Air yang memiliki biaya mahal, rendahnya ketersediaan lapangan kerja, dan upah per bulan yang rendah. 🎬 vicky_natasha","https://www.tiktok.com/@duniapunyacerita_/video/7473280552037027127","1740008729"
"KABURAJADULU #kabursajadulu  RIKA KABURE PANING ENDI ENYONG BE WOS PERNAH KABUR Dari #indonesia  ke 4 NEGARA PERTAMA #arab ke 2 #taiwan ke 3 #hongkong  ke 4 #america #usa ","https://www.tiktok.com/@yummi_mie/video/7473902944895716626","1740153640"
"wkwkwkw diulti balik ncek #kaburajadulu #timothyronald  #kalimasada #avs #akademicrypto #mindset #motivasi ","https://www.tiktok.com/@timothy.ronald74/video/7472659001315003653","1739864017"
"Kabur Aja Dulu .. Source: Instagram/_reyacmad | Youtube/Total Politik @_reyachmad  #kaburajadulu #luhutpanjaitan #reells ","https://www.tiktok.com/@shaannn12/video/7472542103029976328","1739836804"
"Podo gundule kok duel 🤣🤣 #komedi #hiburan #kaburajadulu #mrkocak_1 #mrkocak87 ","https://www.tiktok.com/@mrkocak87/video/7475271063308438802","1740472178"
"kmu emg gak mau ke swiss?😮‍💨 #kaburajadulu ","https://www.tiktok.com/@ikamm.rs/video/7470850970495356165","1739443047"
"Senang plus sedih bercampur satu 😫. Balik-balik Indonesia, teman-teman pada hilang 😭🙏. #SandyInChina #MahasiswaChina #KaburAjaDulu #KuliahdiChina #KehidupandiChina  #ChinaUniversity #UniInChina #StudyInChina #StudyAbroadChina #KuliahLuarNegeri #AllAboutChina #KuliahDiBeijing #ChinaVibes #ChinaLife #BeijingLife #ChinaTravel #BelajarMandarin #KuliahMandarin #MandarinSusah #Fyp","https://www.tiktok.com/@jacmartin_/video/7472730428739210501","1739880643"
"Pernyataan Bahlil Lahadalia pada 2023 kembali viral seiring tren #KaburAjaDulu yang membahas WNI pindah kewarganegaraan ke Singapura. Ia menegaskan bahwa Indonesia memiliki potensi besar yang belum tergarap maksimal dan mempertanyakan nasionalisme mereka yang memilih pindah. Bahlil juga menegaskan bahwa perpindahan kewarganegaraan tidak berkaitan dengan investasi dan lapangan kerja di Indonesia. #KaburAjaDulu #Nasionalisme","https://www.tiktok.com/@faktacom/video/7473792800186699028","1740214800"
"Indonesia tanpa tikus🥀 #koruptorindonesia #kaburajadulu #parasit ","https://www.tiktok.com/@ngtjan/video/7473626556015856951","1740089288"
"Mending Kaborrr 💨 #kaburajadulu #kenshuseijapan  ","https://www.tiktok.com/@kqsama_/video/7471265696803065095","1739539605"
"Let him cook🔥🍳 #shorts #kaburajadulu #rockygerung ","https://www.tiktok.com/@jadi.pinteraja/video/7471870510150831365","1739680431"
"🇩🇪 Der Hashtag #KaburAjaDulu geht viral in Indonesien. Der hat mit ""Braindrain"" zu tun, also der Abwanderung von hochqualifizierten Arbeitskräften. Viele von denen haben nicht nur ins Ausland abgewandert, sondern sind auch in anderen Ländern eingebürgert, um ein besseres Leben zu führen. 🇪🇺 Hashtag #KaburAjaDulu goes viral in Indonesia. It’s related to “Brain Drain” Many of them have not only moved to other countries, but also have become naturalized citizens of other countries to achieve a better life. ","https://www.tiktok.com/@indonesischmituns/video/7469355917104909590","1739094950"
"Kami anak muda yang bekerja diluar negri memiliki jiwa nasionalisme yang lebih tinggi daripada anda yang hanya ngebacot #kaburajadulu #pmi #poland🇵🇱 #tki #kerjakeras #fy ","https://www.tiktok.com/@tarwinner26/video/7471029430618492167","1739484600"
"Tanggapan Timothy tentang #kaburajadulu - Join Mirror Akademi Crypto Murah - Klik Link di Bio #timothyronald #kalimasada #mindset ","https://www.tiktok.com/@alukitoo/video/7470838778207259909","1739440209"
"Resign PNS buat memulai karier di Jerman? #kaburajadulu #resignpns #jerman ","https://www.tiktok.com/@indonesischmituns/video/7469172143851457814","1739052163"
"Replying to @Shanty_Bae01 pengen bgt deehh ketemu mas dewan😩#tiktokviral #fypシ゚viral #kaburajadulu ","https://www.tiktok.com/@nanas_978/video/7475174903684140289","1740449882"
"#kaburajadulu 🥵","https://www.tiktok.com/@marissaulfa_/video/7471565754731646226","1739609467"
"Sdm rendah jare #bahanpikiran #kaburajadulu #kenshuseijapan🇮🇩🇯🇵🎌 #jishusei🇯🇵🇲🇨 #fyp #fypシ゚ #katakata #quotes ","https://www.tiktok.com/@kazu.hiruya/video/7471845824150949128","1739674679"
"“Bawa hutang mu kekapal maka hutangmu akan selesai, jangan bawa cinta mu ke kapal maka cintamu akan selesai” #CapCut #cruiseship #kapalpesiar #kaburajadulu ","https://www.tiktok.com/@tiotirtamejja/video/7473127518342597943","1739973095"
"This is kulii nyapuu🤣 #kaburajadulu #fypシ #jishusei🇯🇵🇲🇨 ","https://www.tiktok.com/@kuli_pitikk/video/7472594969379785992","1739849104"
