author,updated_at,like_count,text,public
@rajapropolis4422,2025-03-02T02:11:19Z,0,Food estate bukannya program gagal?,True
@suparnosuparno7228,2025-03-02T02:10:04Z,0,Sekelas Makaysia saja gagal krn terjadi skandal korupsi krn ibu negara 😂😂 mungkin ini bisa berhasil krn tak ada ibu negara yg suka shoping dan traveling😂😂😂,True
@saraaarth,2025-03-02T02:06:28Z,0,"Dari segi penyampaian dan editing oke banget bang, sangat informatif dan engaging. Tapi kalo boleh saran, subtle gesture terus menerus menyentuh gelas minuman agak bikin kurang nyaman, kadang lagi asik dengerin jadi salfok",True
@124FDS,2025-03-02T02:04:55Z,2,"Hebat loe bro, setajam itu 🎉",True
@Baramada_channel,2025-03-02T02:01:08Z,0,"Food estate aja gagal. Itu 1.
Nomor 2, reputasi pemerintah suka kartel. Investor  asing bakal waswas. Banyak yang hengkang. Imbasnya nilai tukar rupiah turun drastis kalau investor asing banyak yang hengkang",True
@kindirazifarabi,2025-03-02T01:58:36Z,0,joko. jangan diajak...dah kebukti pinokio,True
@gakguna2623,2025-03-02T01:55:57Z,0,"Korupsi mungkin terjadi di situ aja, nggak sampek kemana² kayak sekarang",True
@jarvisbutler-d4x,2025-03-02T01:55:24Z,0,Pasar modal sepi. Exit gimana cara? Danantara.,True
@jarvisbutler-d4x,2025-03-02T01:54:49Z,0,Bapak2 presiden dan mentri indonesia punya usaha tambang dsb. Prediksi sy danantara jd exit strategy beliau2 ini. Liat saja nanti.,True
@ThinkOutsideMind,2025-03-02T01:54:08Z,0,"Percuma kalo orang ya msih itu2 aj bang, gk ush jauh2 analisanya 😅",True
@poedjislamet7957,2025-03-02T01:50:28Z,0,"Aku pribadi pesimis dgn danantara. Akan menjadi obyek korupsi baru.  Lha baru terpilih jd presiden saja, sdh mikir unt mencalonkan lg unt 2029. Berarti blom apa2 sdh mikir dana unt pencapresan 2029.",True
@ipunk5881,2025-03-02T01:49:58Z,0,Raymond Chin... muda cerdas menganalisis secara objektif n rasional... tdk berpihak n tdk ada kebencian...,True
@r.handoko7775,2025-03-02T01:48:39Z,0,"Percayalah danantara hanya akan seperti bank century dan kasusnya kemungkinan akan seperti ASABRI...., gak ada faedahnya DANANTARA...",True
@miftahhuda461,2025-03-02T01:46:19Z,0,"Ya, moga pejabat insaf😂, dan bisa profesional karna diawasi dan transparan org akan takut melanggar, sebaliknya kalo gelap tdk transparan tkus mencuri juga gk kliatan😂",True
@tedigerman618,2025-03-02T01:44:05Z,0,Penjelasan ny bagus banget dan mengedukasi 👍,True
@estrimahani4420,2025-03-02T01:37:55Z,0,"Kenapa harus ada ex president ya...mereka gak bersih, khawatir dipake politik dan pilpress president, ini dana trustfund khusus pembangunan jd kita tdk bergantung dng loan ADB dan World Bank...Harus berdasarkan FS dan DED yg benar, sy mjd konsultan Public Investment bgm Indonesia termasuk yg gagal mrngelola transparansi. Semoga berjalan benar bukan omon2...atau proyek bagi2 fee manajemen. Feasibility Studi hrs utama",True
@BrandalLokaJayaa,2025-03-02T01:37:32Z,0,"Lihat penasihatnya saja trek record begitu, semoga ada keajaiban dibalik itu semua",True
@lekyalfaro09,2025-03-02T01:32:58Z,0,Thank's bang Raymond gw belajar banyak Dari lu,True
@kikokoki645,2025-03-02T01:32:53Z,0,Antara 3-5 tahun lagi danantara bakal bikin indonesia kacau,True
@rahmiatimahmudi9845,2025-03-02T01:31:51Z,0,"Indonesia perbaiki pendidikan dan kesehatan,kalau ngak mau  uang lari ke luar negara",True
@SholehCpns,2025-03-02T01:26:50Z,0,hadir,True
@Dprayogi,2025-03-02T01:25:43Z,0,Masih percaya sm jokowi bro?? Korupsi gila2an..,True
@penikmatketenangan1031,2025-03-02T01:21:51Z,0,"Pemikiran dan*ntra ada, kyk boca. Indonesiag kekurgan source & reaource natural, bumipertiwi yg kaya raya ini. Kekurangan nya ialah Ketegasan hukum, Hidupnya nilai Pancasila, serta adab dalam bernegara & kemanusiaan.",True
@aminwisnugroho2377,2025-03-02T01:19:34Z,0,"Setuju banget Pak Raymond.... Danantara ini saya bilang 'ide brillian' untuk menjadi Indonesia maju & mandiri, dgn catatan semua berjalan dgn visi misinya, dikelola profesional dan yg terpenting transparansi & akuntabilitasnya berjalan baik... bebas dari unsur politik, bersih dari korupsi.. Semoga..Amiiin...",True
@yuishigami08,2025-03-02T01:17:42Z,0,Yg mimpin danantara mantan koruptor kan?,True
@danielsanjaya1510,2025-03-02T01:14:45Z,0,"Sudahlah danantara cm untuk otorisasi pemerintah.. memang bs untuk memajukan rakyat, tapi tujuan utamanya untuk otorisasi.. Kalo untuk rakyat, pasti org yg Pro rakyat anti korupsi seperti Ahok tidak mungkin tidak dimasukkan, org memegang keadilan gitu.. malah Jokowi, Sby.. Sudahlah itu cuma otorisasi sektor keuangan dan industri Super Power Pemerintah",True
@ipungijp4691,2025-03-02T01:10:06Z,0,"Semoga yang Anda minta ditanggapi baik oleh pimpinan negeri ini. 
Mari kita kawal bareng-bareng. 👍👍👍",True
@_NiPutuAyuWidiari,2025-03-02T01:07:39Z,0,"Jujur gw yakin Indonesia bs maju jika danantara di kelola dgn transparan, tapi gw jga takut kalau danantara di korupsi oleh penjabat, krna dari jaman majapahit korupsi sudah melekat, jadi saya sangat takut akan hal tersebut",True
@mandalamarischa541,2025-03-02T01:04:49Z,0,Mantab Kak❤,True
@ianpapua1234,2025-03-02T00:59:08Z,0,Mantap abang😊,True
@bobbysidik7240,2025-03-02T00:53:46Z,0,Beliin Bitcoin di bear market tuh cuan gede bikin sekalian regulasi crypto di Indonesia sekalian,True
@marlinahalim-hv5ix,2025-03-02T00:53:28Z,0,"Benar banget, sebagai warga negara kekuatiran itu pasti ada",True
@wendyhutomo,2025-03-02T00:52:40Z,0,Raymond plis jgn jadi penjilat mengontrol suara oposisi,True
@idabaguskadesuryadi3803,2025-03-02T00:44:42Z,0,Semangat bro.. semoga pemerintah yg sekarang bisa mendengarkan ini.,True
@lulukhendrawaty3165,2025-03-02T00:41:25Z,0,Duh....,True
@UsmanUsman-kv2sk,2025-03-02T00:36:55Z,0,Bravo utk Abang yg peduli dgn kesejahteraan masyarakat,True
@MasLegimin,2025-03-02T00:35:06Z,0,"Sorry to say. Selama undang-undang hukuman mati koruptor belum disahkan maka saya sangat pesimis tentang danantara yaitu kemungkinan besar akan gagal. Lihat saja jajaran tertinggi danantara di pegang salah satu eks napi koruptor. Mantan koruptor coyy.
Coba deh kamu googling ketua tim pakar Danantara.",True
@whitewall651,2025-03-02T00:31:27Z,0,Danantara ga boleh gagal... Bang Raymond mimpinya ketinggian ah 😅😅😅,True
@bikinakunsendiri2748,2025-03-02T00:27:49Z,0,"Kekuatan energi masadpan untuk di bgi"" koalisi bukan untuk rakyat .kata untuk rakyat adalah formalitas untuk memvalidasi peresmian lumbung basah baru",True
@Jaka-kc4vk,2025-03-02T00:26:20Z,0,"HERAN, MASIH PERCAYA REZIM TERNAK MULYONO..?
SUDAH TERBUKTI RAJA OMON-OMON...!",True
@fajar-wf1ri,2025-03-02T00:19:34Z,0,Saya optimis JIKA  org² yg menunggangi danantara jujur,True
@balitrans4338,2025-03-02T00:18:11Z,0,"Cuma omon omon doang isinya kosong, halo food estate",True
@nilamsari3171,2025-03-02T00:16:34Z,0,"Selama tidak ada penegakkan undang2, selama hakim bisa dibeli..boleh aja kalian bermimpi. Perut kosong tidur aja ngak bisa, gimana bisa bermimpi ???",True
@GoestyWirasastra,2025-03-02T00:16:00Z,1,"Trauma dgn kasus korupsi republik ini pasca reformasi, wajar rakyat Indonesia harap harap cemas...
Mari kita ber DOA bersama utk keberhasilan program pemerintah, seperti DANANTARA...
Semoga sukses.
Aamin...",True
@Adhikaputra-ox6gr,2025-03-02T00:14:21Z,0,tapi org yg didalamnya seperti itu bg .,True
@wisnu3447,2025-03-02T00:14:00Z,0,Mudah2an aktual nya sesuai dengan rencana awal yang dijanjikan. Aamiin..🙏,True
@asuasu9632,2025-03-02T00:10:08Z,0,Yang penting jangan di korupsi.!!! Pejabat indonesia kalau sudah lihat duit..otaknya langsung pingin korupsi.,True
@chennysusilawati5486,2025-03-02T00:03:52Z,0,Semoga bukan ajang korupsi baru,True
@hannysensei,2025-03-02T00:01:14Z,0,"Inti nya hrs diganti semua jajaran org2 korupsi ,pemimpin  yg rakus 
ky Georgia ,gk bs dipercaya 
semua pemimpin 2 RI🇮🇩
Garong,Rampok,Mafia uang  pajak rakyat",True
@RiatnoDyas,2025-03-01T23:53:17Z,0,"Mendengar ini jelas ini orang cerdas dan peduli negara. G cuma teriak2 dijalanan, keluar kata2 kotor.  G ngasih solusi malah memperkeruh atau jd provokator. Jadi keliatan bodohnya",True
@DemarHamid,2025-03-01T23:51:29Z,0,"Alah akal akalan menghimpun duit oligarki , kesejahteraan rakyat dari mana , yg main di situ orang orang yg berduit , nana ada rakyat kecil jadi pemainnya 😂😂👎",True
@oberezanova5457,2025-03-01T23:48:12Z,0,Gua ga setuju tentang makan gratis karena ga tepat sasaran.  Masa yang di kasih MGB di kota besar bukan di desa desa yang jelas masih banyak yang stunting. Masalahnya yang lain orang orang yang ikut punya posisi di danantara itu pada ga beres. Gua ga tau siapa yang pantes tapi dengan liat orang orang yang jalanin fungsi danantara bener bener nakutin kalo sampe mereka ga bisa kesentuh hukum,True
@Lilydanial-o7x,2025-03-01T23:47:33Z,0,"Mantab, kita barharap yang terbaik biat negeri ini",True
@Iwillchangeitlateron,2025-03-01T23:46:08Z,0,Wowo & wiwi playing opponent,True
@zahrulfuadi2984,2025-03-01T23:45:56Z,0,Setelah terkumpul yg bermain oligarkhi,True
@Achzarkasyi,2025-03-01T23:36:55Z,0,Entah kenapa gua sangat bgt yakin indonesia bakal maju.,True
@nurairin9505,2025-03-01T23:36:25Z,0,Saya cinta klo cindo seperti beliau 🎉❤,True
@Godprovides2220,2025-03-01T23:35:32Z,0,"Sudah ada kasus IKN, yang dulunya RC dukung dll hbs itu NYESEL. Korupsi lg gila2an. Video ini penerimaan yang setengah2 ? Apakah ini salah satu Youtuber yg ""dipesan"" (?) Untuk propaganda pemerintah ?",True
@jimmyasprila710,2025-03-01T23:32:30Z,0,SEMUA RAKYAT HARUS KAWAL DANANTARA!,True
@YuniArtika-mj6iy,2025-03-01T23:19:04Z,0,Kalo banyak yg pesimis kenapa si paling analisis sangat mengagung2kan danantara ya😂😂,True
@sundaru1,2025-03-01T23:18:29Z,0,"5% warga negara indonesia seperti Raymond , kita optimis indonesia emas  2045",True
@alfedorisdiantokusuma4686,2025-03-01T23:18:15Z,0,"Sdh pasti ada politisasinya, liat ada jokowi dan sby😅",True
@tesa5083,2025-03-01T23:17:12Z,1,Presiden omon omon,True
@TopiHitam-fp2gq,2025-03-01T23:15:01Z,0,AHOK versi MUDA.,True
@RLeviy,2025-03-01T23:08:46Z,0,We're gambling with this... Will it be Catasthrophic Edges of Indonesia or The Savior of Golden Era,True
@suhendrajaya,2025-03-01T23:03:40Z,0,Klo boleh usul daripada danantara mending buat kesehatan dan pendidikan jadi gaji karyawan ga dipotong bpjs dan bla bla,True
@eklinikpro,2025-03-01T23:02:14Z,0,Kalo dana invest dalam negeri paling dikelola oligarki lagi wkwkwk,True
@hendrigunawan6294,2025-03-01T22:58:51Z,0,Tidak perlu aneh2 bro.... Pastikan pak Ahok ada di jajaran direksi jangan semua orang pribumi Indonesia luas harus ada perwakilan dari warga keturunan,True
@BangUbe,2025-03-01T22:47:36Z,0,"Sudah pasti gagal Bang, satu lagi lahan untuk dimalingin.",True
@caturcorp9104,2025-03-01T22:40:56Z,0,"Mantap 
Raymond Lebih kece daripada wapres kita.",True
@RohmadBagusPamungkasGlemboh,2025-03-01T22:24:26Z,0,DANANTARA  Dimohon untuk tidak gagal,True
@muhammadraihan9505,2025-03-01T22:24:23Z,0,Yok kawal terus,True
@Kang_Amin962,2025-03-01T22:21:26Z,0,"Kalau gagal yg Nanggung,Siapa )???",True
@juliettst5203,2025-03-01T22:21:01Z,0,"Nenek2 jg tau cm ada 2
Either Danantara berhasil atau gagal.
Klo korupsi dan gagal kelola yah jd hancur",True
@aliberry1553,2025-03-01T22:20:27Z,0,KORUPTORS MERAJALELA,True
@agitsunarya3536,2025-03-01T22:19:10Z,0,mending fokus urusin koruptor dulu akar masalah nya disitu.,True
@zahrinaulia6129,2025-03-01T22:06:40Z,0,C levelnya orang yg rawan konflik kepentingan dan bisa di intervensi,True
@dwisetyoarsono7421,2025-03-01T21:59:09Z,0,"Luar biasa orang no1 Indonesia 

3 presiden berkolaborasi mendorong kemajuan Indonesia",True
@cemongdisorderofficial7888,2025-03-01T21:55:34Z,0,Paling ge ujungnya di korupsi nantinya,True
@saefuddincilacap4527,2025-03-01T21:53:12Z,0,Saya memberi pesan optimis. Pertama siapkan tiga lapis cadangan penyelesaian kemungkinan kegagalan. Kedua siapkan peti mati untuk 10 penghianat utama proyek danantara.,True
@fakeking114,2025-03-01T21:51:27Z,0,PARA PENGURUS DANANTARA TRACK RECORDNYA KANG KIBUL 😢,True
@hankundjoni2349,2025-03-01T21:50:26Z,0,Mantap,True
@RedBarbaronGG,2025-03-01T21:47:11Z,0,"Nitip sandal, suatu hari nanti ada korupsi",True
@tutikoestbrmnfaattpterlalu7397,2025-03-01T21:41:42Z,0,Maju terus Raymond dg pemikiran2mu yg cerdas utk negeri ini! Aq mngikuti wawancara di ROSI Kompas TV.❤,True
@anggorotopan5695,2025-03-01T21:40:30Z,0,musuhnya cuma 1 .. korupsi,True
@SyaifulBahri-w6j,2025-03-01T21:40:23Z,0,"SUATU PEMIKIRAN DESTRUKTIF, KRN TIDAK MEMBERIKAN FULL MOTIVATION. SEBAGAI WNI YG BAIK ADALAH MEMBERIKAN MITIVASI KPD WARGA.",True
